Requirement_1,Requirement_2,Conflict_Result
The vehicle must meet Euro 6 emission standards.,The bike must have a top speed of 120 km/h.,Exigenz: Der Fahrzeug muss die Euro 6 emission standards erfüllen. | Der Motor muss mit einer
The engine should have a minimum power output of 25 HP.,The vehicle design should be compact and lightweight.,Besoin: Der Motor sollte mit einem Minimum Power output of 25 HP ausgestattet sein. |
The braking system should use ABS for enhanced safety.,The wheels should be spoked to maintain classic aesthetics.,The brake system should use ABS for enhanced safety. | The wheels should be spoked to maintain
The vehicle should be fully electric.,The seat should be made of premium leather for comfort.,Bequirement: The vehicle should be fully electric. | The seat should be made of premium
The two-wheeler should use biodegradable materials where possible.,The vehicle should be cost-effective and use affordable materials.,Bequirement: The two-wheeler should use biodegradable materials where possible.
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The system should minimize power consumption for extended battery life.,Bequirement: Das Fahrzeug sollte die intelligente Connect via Bluetooth und Wi-Fi. |
The seat should be made of premium leather for comfort.,The vehicle should have a minimalistic dashboard design.,- Die Sitze sollten aus Premium-Loadstoff für den Komfort sein | Die
The engine should have a fuel injection system for optimized combustion.,The vehicle should include tubeless tires for durability and safety.,- Die Maschine sollte mit einem Spritzgusssystem für optimierte Verbren
The engine should have a minimum power output of 25 HP.,The vehicle should have a minimalistic dashboard design.,Besoin: Der Motor sollte mit einem Minimum Power output of 25 HP ausgestattet sein | Der
The engine should have a minimum power output of 25 HP.,The onboard computer should be minimal to reduce electronic dependencies.,Besoins: Der Motor sollte mit einem Minimum Power output of 25 HP. | Der
The engine design should prioritize performance over emission constraints.,The vehicle must meet Euro 6 emission standards.,- - - - - - - - - -
The vehicle must meet Euro 6 emission standards.,The engine should have a minimum power output of 25 HP.,Exigenz: Das Fahrzeug muss die Euro 6 emission standards erfüllen. | Der Motor muss eine Mindest
The system should minimize power consumption for extended battery life.,The vehicle should include tubeless tires for durability and safety.,- - - - - - - - - -
The display panel must be fully digital with GPS navigation.,The braking system should use ABS for enhanced safety.,Bequirement: The display panel must be fully digital with GPS navigation. | The brake system
The bike must have a top speed of 120 km/h.,The vehicle should be fully electric.,Exigenz: Die Bike muss eine Höchstgeschwindigkeit von 120 km/h haben. | Die
The vehicle should support fast charging to reach 80% in 30 minutes.,The vehicle should incorporate modular components for easy customization.,Besoins: The vehicle should support fast charging to reach 80% in 30 minutes.
The battery should use standard charging methods to maintain longevity.,The engine design should prioritize performance over emission constraints.,"Bequirement: Die Batterie sollte standard charging methods verwenden, um die Batterie weiterhin langle"
The vehicle should have a minimalistic dashboard design.,The vehicle should include tubeless tires for durability and safety.,- - - - - - - - - -
The engine should have a minimum power output of 25 HP.,The bike should have a storage compartment for a full-size helmet.,Exigenz: Der Motor sollte mit einem Minimum Power output of 25 HP ausgestattet sein | Der Motor
The vehicle must achieve a fuel efficiency of at least 50 km/l.,The onboard computer should be minimal to reduce electronic dependencies.,Besoin: Der Fahrzeug muss eine Leistung von mindestens 50 km/l erreichen.
Users should be able to turn off the headlight manually.,The battery should use standard charging methods to maintain longevity.,"Besoins: Benutzer sollten die Möglichkeit haben, das Headlight manuell zu deaktiv"
Durability must be ensured for at least 10 years of use.,The two-wheeler must have a rearview camera for safety.,| The two-wheeler must have a rearview camera for safety. | The two-
The two-wheeler should have a maximum curb weight of 120 kg.,The vehicle should include tubeless tires for durability and safety.,Besoins: Der zweirader sollte über ein maximales Fahrgewicht von 120
The vehicle must include a high-capacity battery for extended electric range.,The vehicle should incorporate modular components for easy customization.,- - - - - - - - - -
The vehicle should be cost-effective and use affordable materials.,The frame should be made of lightweight aluminum for efficiency.,Bequirement: The vehicle should be cost-effective and use affordable materials. | The frame
The seat should be made of premium leather for comfort.,The vehicle should be cost-effective and use affordable materials.,Bequirement: Der seat should be made of premium leather for comfort. | The vehicle should
The instrument cluster should use analog dials to reduce complexity.,The bike should have a storage compartment for a full-size helmet.,: The instrument cluster should use analog dials to reduce complexity. | The bike should have
The bike must have a top speed of 120 km/h.,The vehicle should have a minimalistic dashboard design.,Exigenz: Der Bike muss eine Höchstgeschwindigkeit von 120 km/h haben. | Der
Production costs should remain below market average for affordability.,The vehicle must include a high-capacity battery for extended electric range.,- - - - - - - - - -
The frame should be made of lightweight aluminum for efficiency.,Production costs should remain below market average for affordability.,Bequirement: The frame should be made of lightweight aluminum for efficiency. | Production costs should
The onboard computer should be minimal to reduce electronic dependencies.,The two-wheeler should use biodegradable materials where possible.,Bequirement: The onboard computer should be minimal to reduce electronic dependencies. | The
The vehicle must include a high-capacity battery for extended electric range.,Durability must be ensured for at least 10 years of use.,- - - - - - - - - -
The frame should be made of lightweight aluminum for efficiency.,The seat should be made of premium leather for comfort.,Bequirement: The frame should be made of lightweight aluminum for efficiency. | The seat should
The engine design should prioritize performance over emission constraints.,The bike must have a top speed of 120 km/h.,| The bike must have a top speed of 120 km/h.
The vehicle should have a minimalistic dashboard design.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,- - - - - - - - - -
The bike must have a top speed of 120 km/h.,Durability must be ensured for at least 10 years of use.,Exigenz: Die Bike muss mit einer Höchstgeschwindigkeit von 120 km/h. | Dur
Production costs should remain below market average for affordability.,The bike must have a top speed of 120 km/h.,| The bike must have a top speed of 120 km/h.
The two-wheeler should use biodegradable materials where possible.,The bike should have a storage compartment for a full-size helmet.,- - - - - - - - - -
The vehicle should include tubeless tires for durability and safety.,The bike should support over-the-air (OTA) software updates.,The vehicle should include tubeless tires for durability and safety. | The bike should support over-
The onboard computer should be minimal to reduce electronic dependencies.,The braking system should use ABS for enhanced safety.,"- Die technischen Voraussetzungen: Der Computer aufboard sollte minimal sein, um die elektronische Ab"
The vehicle must meet Euro 6 emission standards.,The engine design should prioritize performance over emission constraints.,- - - - - - - - - -
The wheels should be spoked to maintain classic aesthetics.,The frame should be made of lightweight aluminum for efficiency.,The wheels should be spoked to maintain classic aesthetics. | The frame should be made of
Users should be able to turn off the headlight manually.,The vehicle should include tubeless tires for durability and safety.,- - - - - - - - - -
The vehicle should incorporate modular components for easy customization.,Users should be able to turn off the headlight manually.,| Benutzer sollten die Kopflampe manuell ausschalten können.
The seat should be made of premium leather for comfort.,The engine should have a minimum power output of 25 HP.,- Die Sitze sollten aus Premium-Limoyale für den Komfort. |
The two-wheeler should have a maximum curb weight of 120 kg.,The system should minimize power consumption for extended battery life.,Besoins: Der zwei-wheeler sollte mit einem maximalen Innenraumgewicht
The engine design should prioritize performance over emission constraints.,The display panel must be fully digital with GPS navigation.,- - - - - - - - - -
The vehicle should have a minimalistic dashboard design.,The system should minimize power consumption for extended battery life.,- - - - - - - - - -
The two-wheeler must have a rearview camera for safety.,The two-wheeler should have a maximum curb weight of 120 kg.,"Exigenz: Der zwei-wheeler muss über eine rearview camera fahren, um die"
The two-wheeler should have a maximum curb weight of 120 kg.,The onboard computer should be minimal to reduce electronic dependencies.,Besoins: Der zwei-wheeler sollte mit einem maximalen Fahrgewicht von 120
The seat should be made of premium leather for comfort.,The two-wheeler must have a rearview camera for safety.,- Die Sitzbestimmungen sollten aus hochwertigem Leder für den Komfort sein | Die Zwei-
The vehicle should be cost-effective and use affordable materials.,The system should minimize power consumption for extended battery life.,- - - - - - - - - -
The vehicle should be cost-effective and use affordable materials.,The vehicle should support fast charging to reach 80% in 30 minutes.,The vehicle should be cost-effective and use affordable materials. | The vehicle should support fast charging
The vehicle should have a minimalistic dashboard design.,The engine design should prioritize performance over emission constraints.,Exigences: Das Fahrzeug sollte mit minimalistischem Dashboard design ausgestattet sein. | Das Motordesign
The onboard computer should be minimal to reduce electronic dependencies.,The vehicle must meet Euro 6 emission standards.,- - - - - - - - - -
The bike should be resistant to extreme weather conditions.,The vehicle must meet Euro 6 emission standards.,- - - - - - - - - -
The vehicle should support fast charging to reach 80% in 30 minutes.,The vehicle must include a high-capacity battery for extended electric range.,- The vehicle must support fast charging to reach 80% in 30 minutes. | The vehicle must
The bike should be resistant to extreme weather conditions.,The bike should have a storage compartment for a full-size helmet.,| The bike should have a storage compartment for a full-size helmet.
The two-wheeler should have a maximum curb weight of 120 kg.,The vehicle should be cost-effective and use affordable materials.,Besoins: Der zweirader sollte mit einem maximalen Fahrgewicht von 120 kg
The vehicle should include tubeless tires for durability and safety.,The battery should use standard charging methods to maintain longevity.,Bequirement: The vehicle should include tubeless tires for durability and safety. | The battery
The seat should be made of premium leather for comfort.,The two-wheeler should have a maximum curb weight of 120 kg.,Exigenz: Der Sitz sollte aus hochwertigem Leder für den Komfort sein. | Der zwei-
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The two-wheeler should have a maximum curb weight of 120 kg.,- - - - - - - - - -
The display panel must be fully digital with GPS navigation.,The bike should be resistant to extreme weather conditions.,Die Anzeige hat muss digital mit GPS navigation. | Die bike muss resistent zu extreme weather
The bike should support over-the-air (OTA) software updates.,The braking system should use ABS for enhanced safety.,Exigenz: Das Bike sollte die Software-Updates über die Maschine (OTA)
"The vehicle should be affordable with a base price under $1,500.",The seat should be made of premium leather for comfort.,Besoins: Das Fahrzeug sollte preisgünstig sein und hat einen Basispreis unter
The wheels should be spoked to maintain classic aesthetics.,The engine should have a minimum power output of 25 HP.,The wheels should be spoked to maintain classic aesthetics. | The engine should have a
The vehicle should be fully electric.,The two-wheeler must have a rearview camera for safety.,Exigenz: Das Fahrzeug sollte vollständig electric sein | Der zwei-wheeler muss mit einer rear
The engine should have a fuel injection system for optimized combustion.,The vehicle should be cost-effective and use affordable materials.,Besoins: Der Motor sollte über ein Fuel injection system für optimierte Verbrennung
The bike should include an always-on headlight for safety compliance.,The vehicle should include tubeless tires for durability and safety.,- - - - - - - - - -
The bike should have a storage compartment for a full-size helmet.,The vehicle should be cost-effective and use affordable materials.,Besoins: The bike should have a storage compartment for a full-size
The vehicle should incorporate modular components for easy customization.,The vehicle must achieve a fuel efficiency of at least 50 km/l.,| The vehicle must achieve a fuel efficiency of at least 50 km/l.
The bike should support over-the-air (OTA) software updates.,The bike should include an always-on headlight for safety compliance.,Exigences: The bike should support over-the-air (OTA) software updates. |
The vehicle should support fast charging to reach 80% in 30 minutes.,The vehicle must include a high-capacity battery for extended electric range.,- The vehicle must support fast charging to reach 80% in 30 minutes. | The vehicle must
The vehicle should have a minimalistic dashboard design.,The vehicle should be cost-effective and use affordable materials.,- - - - - - - - - -
The vehicle should incorporate modular components for easy customization.,The bike should include an always-on headlight for safety compliance.,Bequirement: The vehicle should incorporate modular components for easy customization. | The bike should include
The bike should have a storage compartment for a full-size helmet.,The vehicle should incorporate modular components for easy customization.,Besoin: The bike should have a storage compartment for a full-size helmet
The engine should have a fuel injection system for optimized combustion.,The engine design should prioritize performance over emission constraints.,- - - - - - - - - -
The engine should have a minimum power output of 25 HP.,The vehicle should incorporate modular components for easy customization.,Besoin: Der Motor sollte mit einem Minimum Power output of 25 HP ausgestattet sein. |
The two-wheeler must have a rearview camera for safety.,The vehicle design should be compact and lightweight.,Besoin: Die zweirädrige Fahrzeug muss mit einer rearview camera versehen sein
The vehicle should be cost-effective and use affordable materials.,The bike should have a storage compartment for a full-size helmet.,| The bike should have a storage compartment for a full-size helmet. | The bike
The bike should support over-the-air (OTA) software updates.,The vehicle should incorporate modular components for easy customization.,Besoin: The bike should support over-the-air (OTA) software updates.
The engine should have a minimum power output of 25 HP.,The vehicle design should be compact and lightweight.,Besoin: Der Motor sollte mit einem Minimum Power output of 25 HP ausgestattet sein. |
Production costs should remain below market average for affordability.,The two-wheeler should use biodegradable materials where possible.,Bequirement: Production costs should remain below market average for affordability. | The two-wheel
The engine should have a fuel injection system for optimized combustion.,The bike should support over-the-air (OTA) software updates.,- - - - - - - - - -
The two-wheeler must have a rearview camera for safety.,The bike must have a top speed of 120 km/h.,Exigenz: Der zweirader muss über eine rearview camera fahren. | Der B
The instrument cluster should use analog dials to reduce complexity.,The vehicle should have a minimalistic dashboard design.,The instrument cluster should use analog dials to reduce complexity. | The vehicle should have a
The engine design should prioritize performance over emission constraints.,The vehicle should incorporate modular components for easy customization.,Bequirement: Die Motor design sollte die Priorität der Performance und der emission constraints setzen
The two-wheeler must have a rearview camera for safety.,The two-wheeler should use biodegradable materials where possible.,Exigenz: Der zwei-wheeler muss über eine rearview camera für Sicherheit verfügen.
Users should be able to turn off the headlight manually.,The bike should include an always-on headlight for safety compliance.,- Benutzer sollten die Headlights manuell ausschalten können. | Der Bike sollte einen
The display panel must be fully digital with GPS navigation.,The vehicle should be fully electric.,Exigenz: Die Display Panel muss vollständig digital mit GPS navigation. | Die Fahrzeug muss vollständig electric
Durability must be ensured for at least 10 years of use.,The bike should include an always-on headlight for safety compliance.,| The bike should include an always-on headlight for safety compliance.
The display panel must be fully digital with GPS navigation.,The bike must have a top speed of 120 km/h.,Die Anzeige muss vollständig digital mit GPS Navigation sein | Die Bike muss eine Höchstgeschwindigkeit von 120
The engine should have a fuel injection system for optimized combustion.,The bike should include an always-on headlight for safety compliance.,Exigenz: Der Motor sollte über ein Fuel injection system für optimierte Verbrennung verfügen
The bike must have a top speed of 120 km/h.,The vehicle design should be compact and lightweight.,Exigenz: Das Bike muss eine Höchstgeschwindigkeit von 120 km/h haben. | Die
The bike should include an always-on headlight for safety compliance.,The vehicle should have a minimalistic dashboard design.,- The bike should include an always-on headlight for safety compliance. | The vehicle should
The system should minimize power consumption for extended battery life.,The bike must have a top speed of 120 km/h.,| The bike must have a top speed of 120 km/h.
The onboard computer should be minimal to reduce electronic dependencies.,The vehicle should be fully electric.,- - - - - - - - - -
The two-wheeler should have a maximum curb weight of 120 kg.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,Besoin: Der zwei-wheeler sollte über ein maximales Fahrgewicht von 120
The engine must comply with strict noise restrictions.,Users should be able to turn off the headlight manually.,| Benutzer sollten die Kopflights manuell ausschalten können.
The display panel must be fully digital with GPS navigation.,The vehicle should be fully electric.,Exigenz: Die Display Panel muss vollständig digital mit GPS navigation. | Die Fahrzeug muss vollständig electric
The engine should have a minimum power output of 25 HP.,The seat should be made of premium leather for comfort.,Besoin: Der Motor sollte mit einem Minimum Power output of 25 HP ausgestattet sein. |
"The vehicle should be affordable with a base price under $1,500.",The bike should be resistant to extreme weather conditions.,"Besoins: Das Fahrzeug sollte preisgünstig sein und unter $1,500 fahren"
The vehicle should support fast charging to reach 80% in 30 minutes.,The frame should be made of lightweight aluminum for efficiency.,"Besoin: Das Fahrzeug sollte mit schnellem Aufladen fahren, um 80%"
Production costs should remain below market average for affordability.,The two-wheeler should have a maximum curb weight of 120 kg.,- Die zwei-wheeler-Fahrer-Fahrer-Fahrer-Fahrer-
The battery should use standard charging methods to maintain longevity.,The onboard computer should be minimal to reduce electronic dependencies.,- - - - - - - - - -
Durability must be ensured for at least 10 years of use.,The vehicle should include tubeless tires for durability and safety.,- - - - - - - - - -
The vehicle design should be compact and lightweight.,The seat should be made of premium leather for comfort.,Bequirement: Die Fahrzeug design sollte compact und lightweight. | Der Sitz sollte aus hochwertige leather
The bike should have a storage compartment for a full-size helmet.,The vehicle should include tubeless tires for durability and safety.,Exigences: The bike should have a storage compartment for a full-size helmet.
The system should minimize power consumption for extended battery life.,The bike must have a top speed of 120 km/h.,| The bike must have a top speed of 120 km/h.
The engine should have a minimum power output of 25 HP.,The two-wheeler must have a rearview camera for safety.,Exigenz: Der Motor muss mit einem Minimum Power output of 25 HP ausgestattet sein. | Der
Durability must be ensured for at least 10 years of use.,The vehicle should support fast charging to reach 80% in 30 minutes.,- - - - - - - - - -
The two-wheeler should have a maximum curb weight of 120 kg.,The bike should include an always-on headlight for safety compliance.,Exigenz: Der zwei-wheeler sollte mit einem maximalen Fahrgewicht von 120 kg
The two-wheeler should use biodegradable materials where possible.,The engine must comply with strict noise restrictions.,Bequirement: The two-wheeler should use biodegradable materials where possible.
The frame should be made of lightweight aluminum for efficiency.,The engine design should prioritize performance over emission constraints.,Bequirement: The frame should be made of lightweight aluminum for efficiency. | The engine design
The vehicle should be fully electric.,Production costs should remain below market average for affordability.,- - - - - - - - - -
The engine should have a minimum power output of 25 HP.,The vehicle should support fast charging to reach 80% in 30 minutes.,Besoin: Der Motor sollte mit einem Minimum Power output of 25 HP ausgestattet sein | Der
The bike must have a top speed of 120 km/h.,The battery should use standard charging methods to maintain longevity.,Besoin: Die Bike muss eine Höchstgeschwindigkeit von 120 km/h haben. |
The system should minimize power consumption for extended battery life.,The vehicle must achieve a fuel efficiency of at least 50 km/l.,| The vehicle must achieve a fuel efficiency of at least 50 km/l.
The vehicle must achieve a fuel efficiency of at least 50 km/l.,The two-wheeler must have a rearview camera for safety.,Besoin: Der Fahrzeug muss eine Leistung von mindestens 50 km/l erreichen.
The vehicle should be fully electric.,The display panel must be fully digital with GPS navigation.,Bequirement: The vehicle should be fully electric. | The display panel must be fully digital
The engine should have a minimum power output of 25 HP.,The braking system should use ABS for enhanced safety.,- Die Motoren müssen mit einem Minimum Power output of 25 HP ausgestattet sein. | Der Bre
The display panel must be fully digital with GPS navigation.,Users should be able to turn off the headlight manually.,- Die Display Panels müssen vollständig digital mit GPS Navigation sein. | Benutzer sollten die Möglichkeit haben
The vehicle should be fully electric.,The vehicle should include tubeless tires for durability and safety.,- - - - - - - - - -
The wheels should be spoked to maintain classic aesthetics.,Users should be able to turn off the headlight manually.,The wheels should be spoked to maintain classic aesthetics. | Users should be able to
The vehicle should be cost-effective and use affordable materials.,The braking system should use ABS for enhanced safety.,- - - - - - - - - -
The vehicle must include a high-capacity battery for extended electric range.,The vehicle should have a minimalistic dashboard design.,| The vehicle should have a minimalistic dashboard design.
The engine design should prioritize performance over emission constraints.,The seat should be made of premium leather for comfort.,Bequirement: Die Motor design sollte die Priorität der Performance setzen auf Performance versus
The system should minimize power consumption for extended battery life.,The vehicle must achieve a fuel efficiency of at least 50 km/l.,| The vehicle must achieve a fuel efficiency of at least 50 km/l.
The braking system should use ABS for enhanced safety.,The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,- - - - - - - - - -
The display panel must be fully digital with GPS navigation.,"The vehicle should be affordable with a base price under $1,500.",- Die Display Panels müssen vollständig digital mit GPS Navigation sein | Der Fahrzeug sollte preisgünstig
The vehicle must achieve a fuel efficiency of at least 50 km/l.,Production costs should remain below market average for affordability.,Besoins: Der Fahrzeug muss eine Leistung von mindestens 50 km/l erreichen
The wheels should be spoked to maintain classic aesthetics.,The engine should have a fuel injection system for optimized combustion.,The wheels should be spoked to maintain classic aesthetics. | The engine should have a
The engine should have a fuel injection system for optimized combustion.,The frame should be made of lightweight aluminum for efficiency.,Besoin: Der Motor sollte über ein Fuel injection system für optimierte Verbrennung verfüge
"The vehicle should be affordable with a base price under $1,500.",The vehicle design should be compact and lightweight.,"Besoins: Das Fahrzeug sollte preisgünstig sein und unter $1,500 f"
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The seat should be made of premium leather for comfort.,Bequirement: Das Fahrzeug sollte die intelligent connectivity via Bluetooth und Wi-Fi. | Der
The bike should be resistant to extreme weather conditions.,The two-wheeler must have a rearview camera for safety.,- - - - - - - - - -
"The vehicle should be affordable with a base price under $1,500.",The frame should be made of lightweight aluminum for efficiency.,Besoins: Das Fahrzeug sollte preisgünstig sein und hat einen Basispreis unter
The bike must have a top speed of 120 km/h.,The engine should have a fuel injection system for optimized combustion.,Exigenz: Die Bike muss eine Höchstgeschwindigkeit von 120 km/h haben. | Die
The engine design should prioritize performance over emission constraints.,The system should minimize power consumption for extended battery life.,Bequirement: Motor design should prioritize performance over emission constraints. | The system should minimize power
Production costs should remain below market average for affordability.,The vehicle should incorporate modular components for easy customization.,Bequirement: Production costs should remain below market average for affordability. | The vehicle should incorporate
The braking system should use ABS for enhanced safety.,The vehicle should have a minimalistic dashboard design.,| The vehicle should have a minimalistic dashboard design.
The vehicle must include a high-capacity battery for extended electric range.,The vehicle should include tubeless tires for durability and safety.,- The vehicle must include a high-capacity battery for extended electric range. |
The bike should be resistant to extreme weather conditions.,The vehicle should incorporate modular components for easy customization.,Bequirement: The bike should be resistant to extreme weather conditions. | The vehicle should incorporate
The vehicle should include tubeless tires for durability and safety.,The vehicle should support fast charging to reach 80% in 30 minutes.,- - - - - - - - - -
The engine should have a minimum power output of 25 HP.,The vehicle should be fully electric.,Exigenz: Der Motor sollte mit einem Minimum Power output of 25 HP ausgestattet sein | Der Fahrzeug
The vehicle must achieve a fuel efficiency of at least 50 km/l.,Durability must be ensured for at least 10 years of use.,- - - - - - - - - -
"The vehicle should be affordable with a base price under $1,500.",The vehicle should support fast charging to reach 80% in 30 minutes.,"Besoins: The vehicle should be affordable with a base price under $1,500"
The battery should use standard charging methods to maintain longevity.,The frame should be made of lightweight aluminum for efficiency.,Bequirement: Batterie should use standard charging methods to maintain longevity. | The frame should be
"The vehicle should be affordable with a base price under $1,500.",Durability must be ensured for at least 10 years of use.,Besoins: Das Fahrzeug sollte preisgünstig sein und hat einen Basispreis unter
Users should be able to turn off the headlight manually.,The engine design should prioritize performance over emission constraints.,User should be able to turn off the headlight manually. | The engine design should prioritize
The engine design should prioritize performance over emission constraints.,The display panel must be fully digital with GPS navigation.,- - - - - - - - - -
The vehicle must include a high-capacity battery for extended electric range.,The system should minimize power consumption for extended battery life.,Exigences: The vehicle must include a high-capacity battery for extended electric range
The vehicle must meet Euro 6 emission standards.,The vehicle design should be compact and lightweight.,- - - - - - - - - -
The wheels should be spoked to maintain classic aesthetics.,Production costs should remain below market average for affordability.,The wheels should be spoked to maintain classic aesthetics. | Production costs should remain below market
The two-wheeler should have a maximum curb weight of 120 kg.,The vehicle must include a high-capacity battery for extended electric range.,Besoin: The two-wheeler should have a maximum curb weight of 120 kg
The vehicle should have a minimalistic dashboard design.,The two-wheeler should use biodegradable materials where possible.,Besoins: Das Fahrzeug sollte mit minimalistischem Dashboard design ausgestattet sein. | Das
The bike should include an always-on headlight for safety compliance.,The braking system should use ABS for enhanced safety.,- - - - - - - - - -
The bike should support over-the-air (OTA) software updates.,The vehicle should incorporate modular components for easy customization.,Besoin: The bike should support over-the-air (OTA) software updates.
Users should be able to turn off the headlight manually.,The engine should have a fuel injection system for optimized combustion.,"| Benutzer sollten die Möglichkeit haben, die Kopflights manuell zu deaktivieren. | Der"
The vehicle should incorporate modular components for easy customization.,The bike should include an always-on headlight for safety compliance.,Bequirement: The vehicle should incorporate modular components for easy customization. | The bike should include
The engine should have a minimum power output of 25 HP.,The vehicle should have a minimalistic dashboard design.,Besoin: Der Motor sollte mit einem Minimum Power output of 25 HP ausgestattet sein | Der
Users should be able to turn off the headlight manually.,The vehicle should be cost-effective and use affordable materials.,- - - - - - - - - -
The bike should support over-the-air (OTA) software updates.,The braking system should use ABS for enhanced safety.,Exigenz: Das Bike sollte die Software-Updates über die Maschine (OTA)
The braking system should use ABS for enhanced safety.,The seat should be made of premium leather for comfort.,Bequirement: The brake system should use ABS for enhanced safety. | The seat should be
The onboard computer should be minimal to reduce electronic dependencies.,Production costs should remain below market average for affordability.,- - - - - - - - - -
The bike should be resistant to extreme weather conditions.,The engine should have a fuel injection system for optimized combustion.,- Die Maschine sollte empfindlich zu extremen Wetterbedingungen sein | Die Motor sollte mit einem
The engine should have a fuel injection system for optimized combustion.,The battery should use standard charging methods to maintain longevity.,Besoin: Der Motor sollte über ein Fuel injection system für optimierte Verbrennung verfüge
The vehicle must achieve a fuel efficiency of at least 50 km/l.,The engine must comply with strict noise restrictions.,Bequirement: Der Fahrzeug muss mindestens 50 km/l BenzBenz BenzBenz
The system should minimize power consumption for extended battery life.,The frame should be made of lightweight aluminum for efficiency.,- Die System - - - - - - - -
The frame should be made of lightweight aluminum for efficiency.,The instrument cluster should use analog dials to reduce complexity.,Die Anlage sollte aus dünne Aluminium für Effizienz gebaut werden |
Durability must be ensured for at least 10 years of use.,The display panel must be fully digital with GPS navigation.,| Display panel must be fully digital with GPS navigation. | Display panel must be fully digital with GPS
The bike must have a top speed of 120 km/h.,The vehicle should include tubeless tires for durability and safety.,Exigenz: Die Bike muss eine Höchstgeschwindigkeit von 120 km/h haben. | Die
The two-wheeler must have a rearview camera for safety.,The bike should have a storage compartment for a full-size helmet.,Besoin: The two-wheeler must have a rearview camera for safety.
The engine should have a minimum power output of 25 HP.,The vehicle should incorporate modular components for easy customization.,Besoin: Der Motor sollte mit einem Minimum Power output of 25 HP ausgestattet sein. |
The two-wheeler should use biodegradable materials where possible.,The bike must have a top speed of 120 km/h.,| The bike must have a top speed of 120 km/h.
The two-wheeler should have a maximum curb weight of 120 kg.,The engine must comply with strict noise restrictions.,Exigenz: Der zweirader muss über ein maximales Fahrgewicht von 120 kg
The onboard computer should be minimal to reduce electronic dependencies.,The vehicle must include a high-capacity battery for extended electric range.,- - - - - - - - - -
"The vehicle should be affordable with a base price under $1,500.",Production costs should remain below market average for affordability.,"Besoins: Das Fahrzeug sollte preisgünstig sein, es sollte unter $1"
The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,The instrument cluster should use analog dials to reduce complexity.,- - - - - - - - - -
The frame should be made of lightweight aluminum for efficiency.,The vehicle should support fast charging to reach 80% in 30 minutes.,Bequirement: The frame should be made of lightweight aluminum for efficiency. | The vehicle should
The vehicle should be fully electric.,Users should be able to turn off the headlight manually.,"- Die Fahrzeuge sollten vollständig elektrisch sein. | Benutzer sollten die Möglichkeit haben, die Kopflamp"
The onboard computer should be minimal to reduce electronic dependencies.,The two-wheeler must have a rearview camera for safety.,| The two-wheeler must have a rearview camera for safety.
The engine design should prioritize performance over emission constraints.,The instrument cluster should use analog dials to reduce complexity.,Besoin: Die Motordesign sollte die Performance Priorität auf emission constraints setzen. |
The vehicle should be cost-effective and use affordable materials.,The two-wheeler must have a rearview camera for safety.,| The two-wheeler must have a rearview camera for safety. | The two-
The vehicle design should be compact and lightweight.,The frame should be made of lightweight aluminum for efficiency.,Bequirement: Die Fahrzeug design should be compact and lightweight. | The frame should be made
The engine must comply with strict noise restrictions.,The vehicle must meet Euro 6 emission standards.,Exigenz: Der Motor muss die streng noise restrictions rigrigrigrigrigrigrigrig
The vehicle must meet Euro 6 emission standards.,Durability must be ensured for at least 10 years of use.,- - - - - - - - - -
The vehicle should support fast charging to reach 80% in 30 minutes.,The bike should include an always-on headlight for safety compliance.,"Exigenz: Das Fahrzeug sollte fast charging erlauben, um 80% in 30 minutes"
The vehicle must include a high-capacity battery for extended electric range.,The two-wheeler should use biodegradable materials where possible.,The vehicle must include a high-capacity battery for extended electric range. | The
"The vehicle should be affordable with a base price under $1,500.",The vehicle should have a minimalistic dashboard design.,"Besoins: The vehicle should be affordable with a base price under $1,500"
The vehicle should support fast charging to reach 80% in 30 minutes.,The wheels should be spoked to maintain classic aesthetics.,The vehicle should support fast charging to reach 80 % in 30 minutes. | The wheels should
The vehicle should support fast charging to reach 80% in 30 minutes.,The bike must have a top speed of 120 km/h.,| The bike must have a top speed of 120 km/h. | The bike must have
The bike should support over-the-air (OTA) software updates.,The seat should be made of premium leather for comfort.,Exigenz: Das Fahrrad sollte die Software-Updates über die Maschine unterstützen. | Der
"The vehicle should be affordable with a base price under $1,500.",The vehicle should support smart connectivity via Bluetooth and Wi-Fi.,"Besoins: The vehicle should be affordable with a base price under $1,500"
The engine must comply with strict noise restrictions.,The bike should be resistant to extreme weather conditions.,- - - - - - - - - -
The bike should be resistant to extreme weather conditions.,The two-wheeler must have a rearview camera for safety.,- - - - - - - - - -
The bike should include an always-on headlight for safety compliance.,The two-wheeler should use biodegradable materials where possible.,Bequirement: The bike should include an always-on headlight for safety compliance. |
The vehicle must achieve a fuel efficiency of at least 50 km/l.,Users should be able to turn off the headlight manually.,Besoin: Der Fahrzeug muss eine Leistung von mindestens 50 km/l erreichen.
